site_name,New_taxon,year_trt,trt,block,max_cover,taxon_site,new_max_cover
Agroscope Changins,Achillea_millefolium,T0,Control,1,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Control,2,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Control,3,13,Achillea_millefolium_Agroscope Changins,0.13
Agroscope Changins,Achillea_millefolium,T0,Control,4,5,Achillea_millefolium_Agroscope Changins,0.05
Agroscope Changins,Achillea_millefolium,T0,Disturbance,1,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,Disturbance,2,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,Disturbance,3,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Disturbance,4,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,NPK,1,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,NPK,2,7,Achillea_millefolium_Agroscope Changins,0.07
Agroscope Changins,Achillea_millefolium,T0,NPK,3,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,NPK,4,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,1,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,2,12,Achillea_millefolium_Agroscope Changins,0.12
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,3,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,4,5,Achillea_millefolium_Agroscope Changins,0.05
Agroscope Changins,Achillea_millefolium,T1,Control,1,6,Achillea_millefolium_Agroscope Changins,0.06
Agroscope Changins,Achillea_millefolium,T1,Control,2,11,Achillea_millefolium_Agroscope Changins,0.11
Agroscope Changins,Achillea_millefolium,T1,Control,3,14,Achillea_millefolium_Agroscope Changins,0.14
Agroscope Changins,Achillea_millefolium,T1,Control,4,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T1,Disturbance,1,7,Achillea_millefolium_Agroscope Changins,0.07
Agroscope Changins,Achillea_millefolium,T1,Disturbance,2,6,Achillea_millefolium_Agroscope Changins,0.06
Agroscope Changins,Achillea_millefolium,T1,Disturbance,3,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T1,Disturbance,4,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T1,NPK,1,5,Achillea_millefolium_Agroscope Changins,0.05
Agroscope Changins,Achillea_millefolium,T1,NPK,2,6,Achillea_millefolium_Agroscope Changins,0.06
Agroscope Changins,Achillea_millefolium,T1,NPK,3,18,Achillea_millefolium_Agroscope Changins,0.18
Agroscope Changins,Achillea_millefolium,T1,NPK,4,19,Achillea_millefolium_Agroscope Changins,0.19
Agroscope Changins,Achillea_millefolium,T1,NPK+Disturbance,1,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T1,NPK+Disturbance,2,3,Achillea_millefolium_Agroscope Changins,0.03
Agroscope Changins,Achillea_millefolium,T1,NPK+Disturbance,3,6,Achillea_millefolium_Agroscope Changins,0.06
Agroscope Changins,Achillea_millefolium,T1,NPK+Disturbance,4,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Centaurea_jacea,T0,Control,1,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T0,Control,2,0.1,Centaurea_jacea_Agroscope Changins,0.001
Agroscope Changins,Centaurea_jacea,T0,Control,4,2,Centaurea_jacea_Agroscope Changins,0.02
Agroscope Changins,Centaurea_jacea,T0,Disturbance,1,1,Centaurea_jacea_Agroscope Changins,0.01
Agroscope Changins,Centaurea_jacea,T0,Disturbance,2,4,Centaurea_jacea_Agroscope Changins,0.04
Agroscope Changins,Centaurea_jacea,T0,Disturbance,3,0.5,Centaurea_jacea_Agroscope Changins,0.005
Agroscope Changins,Centaurea_jacea,T0,Disturbance,4,9,Centaurea_jacea_Agroscope Changins,0.09
Agroscope Changins,Centaurea_jacea,T0,NPK,1,5,Centaurea_jacea_Agroscope Changins,0.05
Agroscope Changins,Centaurea_jacea,T0,NPK,2,3,Centaurea_jacea_Agroscope Changins,0.03
Agroscope Changins,Centaurea_jacea,T0,NPK,3,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T0,NPK,4,7,Centaurea_jacea_Agroscope Changins,0.07
Agroscope Changins,Centaurea_jacea,T0,NPK+Disturbance,2,2,Centaurea_jacea_Agroscope Changins,0.02
Agroscope Changins,Centaurea_jacea,T0,NPK+Disturbance,4,0.1,Centaurea_jacea_Agroscope Changins,0.001
Agroscope Changins,Centaurea_jacea,T1,Control,1,1,Centaurea_jacea_Agroscope Changins,0.01
Agroscope Changins,Centaurea_jacea,T1,Control,2,4,Centaurea_jacea_Agroscope Changins,0.04
Agroscope Changins,Centaurea_jacea,T1,Control,4,6,Centaurea_jacea_Agroscope Changins,0.06
Agroscope Changins,Centaurea_jacea,T1,Disturbance,1,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T1,Disturbance,2,0.5,Centaurea_jacea_Agroscope Changins,0.005
Agroscope Changins,Centaurea_jacea,T1,Disturbance,3,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T1,Disturbance,4,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T1,NPK,1,7,Centaurea_jacea_Agroscope Changins,0.07
Agroscope Changins,Centaurea_jacea,T1,NPK,2,3,Centaurea_jacea_Agroscope Changins,0.03
Agroscope Changins,Centaurea_jacea,T1,NPK,3,1,Centaurea_jacea_Agroscope Changins,0.01
Agroscope Changins,Centaurea_jacea,T1,NPK,4,3,Centaurea_jacea_Agroscope Changins,0.03
Agroscope Changins,Centaurea_jacea,T1,NPK+Disturbance,2,0,Centaurea_jacea_Agroscope Changins,0
Agroscope Changins,Centaurea_jacea,T1,NPK+Disturbance,4,0.1,Centaurea_jacea_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T0,Control,1,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T0,Control,2,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,Control,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,Control,4,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,Disturbance,1,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T0,Disturbance,2,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,Disturbance,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,NPK,1,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T0,NPK,2,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,NPK,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,NPK+Disturbance,1,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T0,NPK+Disturbance,2,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,NPK+Disturbance,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T0,NPK+Disturbance,4,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Cerastium_fontanum,T1,Control,1,2,Cerastium_fontanum_Agroscope Changins,0.02
Agroscope Changins,Cerastium_fontanum,T1,Control,2,0,Cerastium_fontanum_Agroscope Changins,0
Agroscope Changins,Cerastium_fontanum,T1,Control,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T1,Control,4,1,Cerastium_fontanum_Agroscope Changins,0.01
Agroscope Changins,Cerastium_fontanum,T1,Disturbance,1,5,Cerastium_fontanum_Agroscope Changins,0.05
Agroscope Changins,Cerastium_fontanum,T1,Disturbance,2,3,Cerastium_fontanum_Agroscope Changins,0.03
Agroscope Changins,Cerastium_fontanum,T1,Disturbance,3,1,Cerastium_fontanum_Agroscope Changins,0.01
Agroscope Changins,Cerastium_fontanum,T1,NPK,1,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T1,NPK,2,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T1,NPK,3,0,Cerastium_fontanum_Agroscope Changins,0
Agroscope Changins,Cerastium_fontanum,T1,NPK+Disturbance,1,2,Cerastium_fontanum_Agroscope Changins,0.02
Agroscope Changins,Cerastium_fontanum,T1,NPK+Disturbance,2,2,Cerastium_fontanum_Agroscope Changins,0.02
Agroscope Changins,Cerastium_fontanum,T1,NPK+Disturbance,3,0.5,Cerastium_fontanum_Agroscope Changins,0.005
Agroscope Changins,Cerastium_fontanum,T1,NPK+Disturbance,4,0.1,Cerastium_fontanum_Agroscope Changins,0.001
Agroscope Changins,Daucus_carota,T0,Control,1,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Daucus_carota,T0,Disturbance,1,1.5,Daucus_carota_Agroscope Changins,0.015
Agroscope Changins,Daucus_carota,T0,Disturbance,2,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Daucus_carota,T0,Disturbance,4,11,Daucus_carota_Agroscope Changins,0.11
Agroscope Changins,Daucus_carota,T0,NPK,2,0.1,Daucus_carota_Agroscope Changins,0.001
Agroscope Changins,Daucus_carota,T0,NPK+Disturbance,3,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Daucus_carota,T0,NPK+Disturbance,4,2,Daucus_carota_Agroscope Changins,0.02
Agroscope Changins,Daucus_carota,T1,Control,1,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Daucus_carota,T1,Disturbance,1,4,Daucus_carota_Agroscope Changins,0.04
Agroscope Changins,Daucus_carota,T1,Disturbance,2,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Daucus_carota,T1,Disturbance,4,9,Daucus_carota_Agroscope Changins,0.09
Agroscope Changins,Daucus_carota,T1,NPK,2,0.5,Daucus_carota_Agroscope Changins,0.005
Agroscope Changins,Daucus_carota,T1,NPK+Disturbance,3,0,Daucus_carota_Agroscope Changins,0
Agroscope Changins,Daucus_carota,T1,NPK+Disturbance,4,1,Daucus_carota_Agroscope Changins,0.01
Agroscope Changins,Elymus_repens,T0,Control,4,4,Elymus_repens_Agroscope Changins,0.04
Agroscope Changins,Elymus_repens,T0,NPK,4,0.5,Elymus_repens_Agroscope Changins,0.005
Agroscope Changins,Elymus_repens,T1,Control,4,0,Elymus_repens_Agroscope Changins,0
Agroscope Changins,Elymus_repens,T1,NPK,4,0,Elymus_repens_Agroscope Changins,0
Agroscope Changins,Knautia_arvensis,T0,Control,2,0,Knautia_arvensis_Agroscope Changins,0
Agroscope Changins,Knautia_arvensis,T0,NPK+Disturbance,1,0.1,Knautia_arvensis_Agroscope Changins,0.001
Agroscope Changins,Knautia_arvensis,T1,Control,2,1,Knautia_arvensis_Agroscope Changins,0.01
Agroscope Changins,Knautia_arvensis,T1,NPK+Disturbance,1,0,Knautia_arvensis_Agroscope Changins,0
Agroscope Changins,Lotus_corniculatus,T0,Control,1,21,Lotus_corniculatus_Agroscope Changins,0.21
Agroscope Changins,Lotus_corniculatus,T0,Control,2,9,Lotus_corniculatus_Agroscope Changins,0.09
