MatrixID,SpeciesAccepted,Lat,Lon,Country,Continent,DOI_ISBN
238263,Allium_vineale,38.5,-90.5,USA,N America,10.1890/12-1310.1
238805,Knautia_arvensis,63.741984,11.404067,NOR,Europe,10.1016/j.flora.2016.04.007
238814,Lactuca_serriola,42.852778,112.401944,USA,N America,10.1890/09-0750
238821,Lantana_camara,-26.866667,152.35,AUS,Oceania,10.1007/s10144-013-0364-7
239100,Amaranthus_retroflexus,60.816667,23.483333,FIN,Europe,10.1111/wre.12075
239112,Andropogon_gerardii,39.083333,-96.583333,USA,N America,10.1674/0003-0031-174.1.14
239122,Andropogon_gerardii,43.55,-103.45,USA,N America,10.1674/0003-0031-174.1.14
239264,Bromus_tectorum,40.116667,-105.3,USA,N America,10.1007/s00442-015-3398-z
239267,Bromus_tectorum,40.116667,105.3,USA,N America,10.1007/s00442-015-3398-z
239344,Carduus_nutans,38.508333,-90.571389,USA,N America,10.1002/ecy.2681
239512,Centaurea_stoebe,46.766667,7.1,CHE,Europe,10.1111/j.1461-0248.2012.01813.x
239623,Erophila_verna,38.523889,-90.569722,USA,N America,10.1002/ecy.2681
239625,Echinochloa_crus-galli,60.816667,23.483333,FIN,Europe,10.1111/wre.12075
240067,Potentilla_recta,38.529722,-90.559167,USA,N America,10.1002/ecy.2681
240263,Verbascum_thapsus,38.528333,-90.560556,USA,N America,10.1002/ecy.2681
240266,Vincetoxicum_nigrum,41.766667,-73.733333,USA,N America,10.1656/045.024.0104
240271,Vincetoxicum_nigrum,41.3,-73.966667,USA,N America,10.1656/045.024.0104
240791,Arenaria_serpyllifolia,50.516667,13.983333,CZE,Europe,10.1111/j.1654-1103.2007.tb02519.x
240808,Bromus_tectorum,37.612222,-118.837222,USA,N America,10.1890/08-1446.1
240904,Melampyrum_pratense,58.95,17.583333,SWE,Europe,10.1016/j.baae.2007.02.006
240925,Myosotis_ramosissima,50.516667,13.983333,CZE,Europe,10.1111/j.1654-1103.2007.tb02519.x
240956,Polygonum_perfoliatum,37.95,-75.45,USA,N America,10.1007/s10530-004-5572-9
241016,Polygonum_perfoliatum,36.033333,140.333333,JPN,Asia,10.1007/s10530-004-5572-9
