Taxon,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
Agrimonia_eupatoria,-0.6286345013273706,4.248268996096919,0.47470465525212613,0.8366127136871373,0.44634025029775376,0.0503461237134725,-0.2021927959767106,-0.18323989595957013
Alliaria_petiolata,-0.3587811685066289,-0.2146110215356617,0.5737486656098651,-0.21763377538408946,0.0770005082230086,-0.47648479880884115,-0.5545537572733423,0.2097425096831414
Allium_vineale,-0.6904695691013537,-0.7483635573370686,0.11872755934241064,-0.6172102241239873,-0.3255215330388791,-0.10921681259320974,-0.06494528908745262,-0.016781077779837693
Andropogon_gerardii,-0.9993030222147287,-0.4851244382520036,-0.17364894576157056,-0.5804000775286097,-0.656348946885597,0.29013440503929244,-0.34544350679300745,-0.07651249999860356
Arenaria_serpyllifolia,-0.2944210461597137,-1.1439703051390349,-0.2029257671391419,-0.4169683347957156,0.0495350377636977,-0.5638782007238438,0.1084790413583789,-0.022230294569241867
Armeria_maritima,-0.4028035067980095,0.394696674563045,1.0215163859594698,-0.36020633630847393,-1.2318603770435583,0.48730559900873865,-0.15214113896285517,0.2765180060358682
Centaurea_jacea,-0.6916980136135054,1.627108915151936,-0.27689033514561034,0.7512331666826895,0.2818323885233237,0.1655773259735947,0.37475724541795596,0.09658791261277248
Cerastium_fontanum,-0.17727769443424363,-1.2423682820927422,4.7346301452860204e-4,-0.5301087220492882,0.10175188782058874,-0.4087675287576702,-0.08235678109076221,-0.017775772555425298
Cirsium_arvense,0.22656285366321158,-0.6437881098691088,0.6455907010098235,-0.315937277287676,0.2801946206149322,0.31392011121832447,0.21538332671628474,0.037342515029357475
Cirsium_palustre,-0.5427810223481623,-0.431454506015775,0.7492067698201975,-0.5358620974721205,-0.4745375469762713,0.33824608912922177,-0.0924406261798197,-0.07362812474051286
Cirsium_undulatum,-1.0922274538194603,-0.44537437711691524,-2.116317719564513,0.7484730859313786,-0.32099354766293586,0.35798147885098625,-0.2212977889477174,0.119781084670591
Cirsium_vulgare,-0.321642623143867,-0.7934417594332703,0.3093119090540153,-0.5416899976873707,-0.11528666192232208,-0.2574141798935757,-0.2494779370154007,-0.02688688389344121
Daucus_carota,-1.2334125650434342,-0.35851978455377437,0.7989615284478108,-1.1538448084644248,-0.9432053845372497,0.5341705488801008,-0.5365045681082687,0.009338658162526504
Echium_vulgare,-1.0893541980415133,-0.05549542813241094,0.43374332745292515,-0.6032574925160759,-0.7930357254262153,0.7291220467356414,-0.28236849397991665,-0.0196128278005194
Erigeron_canadensis,0.3636936092865588,-1.3876070083509773,0.14947361073563645,-0.35111576747774487,0.4966688355528678,-0.04899125511553627,-0.371547579405148,0.03260331564652512
Knautia_arvensis,0.22368961552497368,-0.6024595365927011,0.1924130169051595,-0.07077550086125839,0.805713685964347,-0.9220999617987383,1.1204891581548455,0.008126300644455903
Lactuca_serriola,3.0463592686940033,-1.9683689051907896,0.7436410852844992,0.8240776250864371,3.285746828910999,1.5095534926082523,-1.1120834230668253,0.05960075946571455
Lantana_camara,7.698583098874705,2.614710452843321,-1.8739519566550173,-2.2989313780961185,-0.5484244719025162,0.2030040010392929,0.21445635721181774,0.06916250446474635
Linum_catharticum,-0.21778150955535874,-0.8220296561127206,0.20627777127421978,-0.6046027710957402,-0.10611843082953401,-0.3710732439258304,0.2416358209962062,-0.17414825191472502
Myosotis_ramosissima,-0.7421148035332833,-1.1734048180417207,0.13925570820430694,-0.9472242751583789,-0.4663083840905024,-0.30833535250201477,-0.39276739374649605,-0.006009266534963501
Picris_hieracioides,0.48525438187931874,-0.5684641258150211,1.1237331162568107,0.2862558765540335,-0.0946804679334507,0.336103486726394,0.06335902271975051,-0.20146609480822997
Pimpinella_saxifraga,-0.7361340047099506,1.703814047903912,-0.16893469928297467,0.6004634367567754,0.12229980394116595,0.3968322022011785,0.4044375015332459,-0.009978051645620574
Plantago_coronopus,-0.48463362383671016,-0.37085972728740546,-0.5007600241977702,-0.0034259483731751486,0.0853429449079599,-0.2952547519954479,0.22568332717575057,0.002504012041067018
Plantago_media,-0.7517490236032073,2.2661169136054453,1.8931457259844007,0.2836418319291358,0.4307822515942215,0.02093788658389971,0.6370459278478092,0.48277733223871816
