site_name,New_taxon,year_trt,trt,block,max_cover,taxon_site,new_max_cover
Agroscope Changins,Achillea_millefolium,T0,Control,1,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Control,2,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Control,3,13,Achillea_millefolium_Agroscope Changins,0.13
Agroscope Changins,Achillea_millefolium,T0,Control,4,5,Achillea_millefolium_Agroscope Changins,0.05
Agroscope Changins,Achillea_millefolium,T0,Disturbance,1,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,Disturbance,2,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,Disturbance,3,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,Disturbance,4,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,NPK,1,8,Achillea_millefolium_Agroscope Changins,0.08
Agroscope Changins,Achillea_millefolium,T0,NPK,2,7,Achillea_millefolium_Agroscope Changins,0.07
Agroscope Changins,Achillea_millefolium,T0,NPK,3,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,NPK,4,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,1,9,Achillea_millefolium_Agroscope Changins,0.09
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,2,12,Achillea_millefolium_Agroscope Changins,0.12
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,3,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T0,NPK+Disturbance,4,5,Achillea_millefolium_Agroscope Changins,0.05
Agroscope Changins,Achillea_millefolium,T3,Control,1,7,Achillea_millefolium_Agroscope Changins,0.07
Agroscope Changins,Achillea_millefolium,T3,Control,2,7,Achillea_millefolium_Agroscope Changins,0.07
Agroscope Changins,Achillea_millefolium,T3,Control,3,10,Achillea_millefolium_Agroscope Changins,0.1
Agroscope Changins,Achillea_millefolium,T3,Control,4,1,Achillea_millefolium_Agroscope Changins,0.01
Agroscope Changins,Achillea_millefolium,T3,Disturbance,1,6,Achillea_millefolium_Agroscope Changins,0.06
Agroscope Changins,Achillea_millefolium,T3,Disturbance,2,3,Achillea_millefolium_Agroscope Changins,0.03
Agroscope Changins,Achillea_millefolium,T3,Disturbance,3,1,Achillea_millefolium_Agroscope Changins,0.01
Agroscope Changins,Achillea_millefolium,T3,Disturbance,4,0,Achillea_millefolium_Agroscope Changins,0
Agroscope Changins,Achillea_millefolium,T3,NPK,1,4,Achillea_millefolium_Agroscope Changins,0.04
Agroscope Changins,Achillea_millefolium,T3,NPK,2,3,Achillea_millefolium_Agroscope Changins,0.03
Agroscope Changins,Achillea_millefolium,T3,NPK,3,0,Achillea_millefolium_Agroscope Changins,0
Agroscope Changins,Achillea_millefolium,T3,NPK,4,0,Achillea_millefolium_Agroscope Changins,0
Agroscope Changins,Achillea_millefolium,T3,NPK+Disturbance,1,4,Achillea_millefolium_Agroscope Changins,0.04
Agroscope Changins,Achillea_millefolium,T3,NPK+Disturbance,2,1,Achillea_millefolium_Agroscope Changins,0.01
Agroscope Changins,Achillea_millefolium,T3,NPK+Disturbance,3,0,Achillea_millefolium_Agroscope Changins,0
Agroscope Changins,Achillea_millefolium,T3,NPK+Disturbance,4,0,Achillea_millefolium_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T0,Control,2,0,Agrostis_capillaris_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T0,Control,3,15,Agrostis_capillaris_Agroscope Changins,0.15
Agroscope Changins,Agrostis_capillaris,T0,Control,4,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T0,Disturbance,1,0,Agrostis_capillaris_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T0,Disturbance,3,3,Agrostis_capillaris_Agroscope Changins,0.03
Agroscope Changins,Agrostis_capillaris,T0,Disturbance,4,0,Agrostis_capillaris_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T0,NPK,1,13,Agrostis_capillaris_Agroscope Changins,0.13
Agroscope Changins,Agrostis_capillaris,T0,NPK,2,5,Agrostis_capillaris_Agroscope Changins,0.05
Agroscope Changins,Agrostis_capillaris,T0,NPK,3,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T0,NPK,4,3,Agrostis_capillaris_Agroscope Changins,0.03
Agroscope Changins,Agrostis_capillaris,T0,NPK+Disturbance,1,1,Agrostis_capillaris_Agroscope Changins,0.01
Agroscope Changins,Agrostis_capillaris,T0,NPK+Disturbance,2,0,Agrostis_capillaris_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T0,NPK+Disturbance,3,25,Agrostis_capillaris_Agroscope Changins,0.25
Agroscope Changins,Agrostis_capillaris,T0,NPK+Disturbance,4,0,Agrostis_capillaris_Agroscope Changins,0
Agroscope Changins,Agrostis_capillaris,T3,Control,2,3,Agrostis_capillaris_Agroscope Changins,0.03
Agroscope Changins,Agrostis_capillaris,T3,Control,3,7,Agrostis_capillaris_Agroscope Changins,0.07
Agroscope Changins,Agrostis_capillaris,T3,Control,4,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T3,Disturbance,1,3,Agrostis_capillaris_Agroscope Changins,0.03
Agroscope Changins,Agrostis_capillaris,T3,Disturbance,3,5,Agrostis_capillaris_Agroscope Changins,0.05
Agroscope Changins,Agrostis_capillaris,T3,Disturbance,4,1,Agrostis_capillaris_Agroscope Changins,0.01
Agroscope Changins,Agrostis_capillaris,T3,NPK,1,8,Agrostis_capillaris_Agroscope Changins,0.08
Agroscope Changins,Agrostis_capillaris,T3,NPK,2,10,Agrostis_capillaris_Agroscope Changins,0.1
Agroscope Changins,Agrostis_capillaris,T3,NPK,3,1,Agrostis_capillaris_Agroscope Changins,0.01
Agroscope Changins,Agrostis_capillaris,T3,NPK,4,4,Agrostis_capillaris_Agroscope Changins,0.04
Agroscope Changins,Agrostis_capillaris,T3,NPK+Disturbance,1,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T3,NPK+Disturbance,2,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T3,NPK+Disturbance,3,2,Agrostis_capillaris_Agroscope Changins,0.02
Agroscope Changins,Agrostis_capillaris,T3,NPK+Disturbance,4,5,Agrostis_capillaris_Agroscope Changins,0.05
Agroscope Changins,Alopecurus_pratensis,T0,Control,2,5,Alopecurus_pratensis_Agroscope Changins,0.05
Agroscope Changins,Alopecurus_pratensis,T0,Control,3,0.5,Alopecurus_pratensis_Agroscope Changins,0.005
Agroscope Changins,Alopecurus_pratensis,T0,Control,4,3,Alopecurus_pratensis_Agroscope Changins,0.03
Agroscope Changins,Alopecurus_pratensis,T0,Disturbance,2,23,Alopecurus_pratensis_Agroscope Changins,0.23
Agroscope Changins,Alopecurus_pratensis,T0,Disturbance,3,25,Alopecurus_pratensis_Agroscope Changins,0.25
Agroscope Changins,Alopecurus_pratensis,T0,Disturbance,4,0.1,Alopecurus_pratensis_Agroscope Changins,0.001
Agroscope Changins,Alopecurus_pratensis,T0,NPK,1,2,Alopecurus_pratensis_Agroscope Changins,0.02
Agroscope Changins,Alopecurus_pratensis,T0,NPK,3,11,Alopecurus_pratensis_Agroscope Changins,0.11
Agroscope Changins,Alopecurus_pratensis,T0,NPK,4,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Alopecurus_pratensis,T0,NPK+Disturbance,1,0,Alopecurus_pratensis_Agroscope Changins,0
Agroscope Changins,Alopecurus_pratensis,T0,NPK+Disturbance,2,15,Alopecurus_pratensis_Agroscope Changins,0.15
Agroscope Changins,Alopecurus_pratensis,T0,NPK+Disturbance,3,0,Alopecurus_pratensis_Agroscope Changins,0
Agroscope Changins,Alopecurus_pratensis,T3,Control,2,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Alopecurus_pratensis,T3,Control,3,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Alopecurus_pratensis,T3,Control,4,3,Alopecurus_pratensis_Agroscope Changins,0.03
Agroscope Changins,Alopecurus_pratensis,T3,Disturbance,2,22,Alopecurus_pratensis_Agroscope Changins,0.22
Agroscope Changins,Alopecurus_pratensis,T3,Disturbance,3,4,Alopecurus_pratensis_Agroscope Changins,0.04
Agroscope Changins,Alopecurus_pratensis,T3,Disturbance,4,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Alopecurus_pratensis,T3,NPK,1,2,Alopecurus_pratensis_Agroscope Changins,0.02
Agroscope Changins,Alopecurus_pratensis,T3,NPK,3,3,Alopecurus_pratensis_Agroscope Changins,0.03
Agroscope Changins,Alopecurus_pratensis,T3,NPK,4,0.5,Alopecurus_pratensis_Agroscope Changins,0.005
Agroscope Changins,Alopecurus_pratensis,T3,NPK+Disturbance,1,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Alopecurus_pratensis,T3,NPK+Disturbance,2,3,Alopecurus_pratensis_Agroscope Changins,0.03
Agroscope Changins,Alopecurus_pratensis,T3,NPK+Disturbance,3,1,Alopecurus_pratensis_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T0,Control,2,0,Arrhenatherum_elatius_Agroscope Changins,0
Agroscope Changins,Arrhenatherum_elatius,T0,Control,3,0.5,Arrhenatherum_elatius_Agroscope Changins,0.005
Agroscope Changins,Arrhenatherum_elatius,T0,Disturbance,1,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T0,Disturbance,2,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T0,Disturbance,3,0.1,Arrhenatherum_elatius_Agroscope Changins,0.001
Agroscope Changins,Arrhenatherum_elatius,T0,Disturbance,4,0.5,Arrhenatherum_elatius_Agroscope Changins,0.005
Agroscope Changins,Arrhenatherum_elatius,T0,NPK,1,0.1,Arrhenatherum_elatius_Agroscope Changins,0.001
Agroscope Changins,Arrhenatherum_elatius,T0,NPK,2,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T0,NPK,4,0.5,Arrhenatherum_elatius_Agroscope Changins,0.005
Agroscope Changins,Arrhenatherum_elatius,T0,NPK+Disturbance,2,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T0,NPK+Disturbance,3,0,Arrhenatherum_elatius_Agroscope Changins,0
Agroscope Changins,Arrhenatherum_elatius,T0,NPK+Disturbance,4,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T3,Control,2,4,Arrhenatherum_elatius_Agroscope Changins,0.04
Agroscope Changins,Arrhenatherum_elatius,T3,Control,3,0,Arrhenatherum_elatius_Agroscope Changins,0
Agroscope Changins,Arrhenatherum_elatius,T3,Disturbance,1,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T3,Disturbance,2,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T3,Disturbance,3,0,Arrhenatherum_elatius_Agroscope Changins,0
Agroscope Changins,Arrhenatherum_elatius,T3,Disturbance,4,1,Arrhenatherum_elatius_Agroscope Changins,0.01
Agroscope Changins,Arrhenatherum_elatius,T3,NPK,1,0,Arrhenatherum_elatius_Agroscope Changins,0
Agroscope Changins,Arrhenatherum_elatius,T3,NPK,2,4,Arrhenatherum_elatius_Agroscope Changins,0.04
Agroscope Changins,Arrhenatherum_elatius,T3,NPK,4,3,Arrhenatherum_elatius_Agroscope Changins,0.03
Agroscope Changins,Arrhenatherum_elatius,T3,NPK+Disturbance,2,2,Arrhenatherum_elatius_Agroscope Changins,0.02
